Dateiname,Kunde,Projekt,Rechnungsnummer,Rechnungsdatum,Mwst.,Netto-Rechnungssume,Brutto-Rechnungssume
2023-001_Strokecoach_Arbeiten-Dezember.pdf,Strokecoach,Arbeiten Dezember,2023-001,15.01.2023,€0.00,180.00,€180.00
2023-002_Strokecoach_Arbeiten-Januar.pdf,Strokecoach,Arbeiten Januar,2023-002,04.02.2023,€0.00,510.00,€510.00
2023-003_Wiegmann_Website.pdf,Wiegmann,Website,2023-003,04.02.2023,€95.00,500.00,€595.00
2023-004_Strokecoach_Arbeiten-Februar.pdf,Strokecoach,Arbeiten Februar,2023-004,27.02.2023,€0.00,810.00,€810.00
2023-005_Strokecoach_Arbeiten-2021-06.pdf,Strokecoach,Arbeiten 2021-06,2023-005,27.02.2023,€NaN,NaN,€NaN
2023-006_Strokecoach_Arbeiten-2021-07.pdf,Strokecoach,Arbeiten 2021-07,2023-006,27.02.2023,€NaN,NaN,€NaN
2023-007_Strokecoach_Arbeiten-2021-08.pdf,Strokecoach,Arbeiten 2021-08,2023-007,27.02.2023,€NaN,NaN,€NaN
2023-008_Strokecoach_Arbeiten-2021-09.pdf,Strokecoach,Arbeiten 2021-09,2023-008,27.02.2023,€NaN,NaN,€NaN
2023-009_Strokecoach_Arbeiten-2021-10.pdf,Strokecoach,Arbeiten 2021-10,2023-009,27.02.2023,€NaN,NaN,€NaN
2023-010_Strokecoach_Arbeiten-2021-11.pdf,Strokecoach,Arbeiten 2021-11,2023-010,27.02.2023,€NaN,NaN,€NaN
2023-011_Strokecoach_Arbeiten-2021-12.pdf,Strokecoach,Arbeiten 2021-12,2023-011,27.02.2023,€NaN,NaN,€NaN
2023-012_Strokecoach_Arbeiten-2022-01.pdf,Strokecoach,Arbeiten 2022-01,2023-012,27.02.2023,€NaN,NaN,€NaN
2023-013_Strokecoach_Arbeiten-2022-02.pdf,Strokecoach,Arbeiten 2022-02,2023-013,27.02.2023,€NaN,NaN,€NaN
2023-014_Strokecoach_Arbeiten-2022-03.pdf,Strokecoach,Arbeiten 2022-03,2023-014,27.02.2023,€NaN,NaN,€NaN
2023-015_Strokecoach_Arbeiten-März.pdf,Strokecoach,Arbeiten März,2023-015,09.05.2023,€0.00,660.00,€660.00
2023-016_Strokecoach_Arbeiten-April.pdf,Strokecoach,Arbeiten April,2023-016,09.05.2023,€0.00,570.00,€570.00
2023-017_Strokecoach_Arbeiten-Mai-und-Juni.pdf,Strokecoach,Arbeiten Mai-und-Juni,2023-017,03.07.2023,€0.00,840.00,€840.00
2023-018_Strokecoach_Arbeiten-Juli.pdf,Strokecoach,Arbeiten Juli,2023-018,01.08.2023,€0.00,300.00,€300.00